chr	snpPos	snp.pValue	distToCenter	nearestGene	linkedGene	linkScore	linkDist	enrRank	enrName	enr.pValue	enrGroup
chr1	56962821	0.00000001	571.5	PLPP3	PLPP3	0.76	-147582	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	109821511	0.00000001	1052.5	PSRC1	CELSR2	0.76	28297	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	56962821	0.00000001	1559.5	PLPP3	C8B	0.76	-470552	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	109821511	0.00000001	1531.5	PSRC1	CELSR2	0.76	27818	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	56962821	0.00000001	1151.5	PLPP3	PLPP3	0.75	-147002	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	56962821	0.00000001	2476.5	PLPP3	PLPP3	0.75	-145677	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	109821511	0.00000001	838.5	PSRC1	KIAA1324	0.74	164371	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	56962821	0.00000001	980.5	PLPP3	C8B	0.74	-469973	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	56962821	0.00000001	1382.5	PLPP3	PLPP3	0.74	-146771	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	109821511	0.00000001	441	PSRC1	MYBPHL	0.73	-28563.5	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	109821511	0.00000001	1052.5	PSRC1	PSRC1	0.72	-5350	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	109821511	0.00000001	441	PSRC1	SORT1	0.72	-119470.5	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	56962821	0.00000001	431.5	PLPP3	NA	NA	NA	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	56962821	0.00000001	1895.5	PLPP3	NA	NA	NA	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	56962821	0.00000001	2421.5	PLPP3	NA	NA	NA	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	56962821	0.00000001	2462.5	PLPP3	NA	NA	NA	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	109821511	0.00000001	838.5	PSRC1	MYBPHL	0.84	-28961	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr1	109821511	0.00000001	838.5	PSRC1	PSRC1	0.66	-5136	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr1	109821511	0.00000001	838.5	PSRC1	CELSR2	0.65	28511	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr1	109821511	0.00000001	838.5	PSRC1	KIAA1324	0.24	164371	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr1	56962821	0.00000001	102.5	PLPP3	C8A	0.68	-357556	3	Liver	0.0000000000014	Liver
chr1	56962821	0.00000001	185.5	PLPP3	C8A	0.57	-357844	3	Liver	0.0000000000014	Liver
chr1	56962821	0.00000001	980.5	PLPP3	C8A	0.4	-358639	3	Liver	0.0000000000014	Liver
chr1	56962821	0.00000001	431.5	PLPP3	PLPP3	0.37	-147722	3	Liver	0.0000000000014	Liver
chr1	56962821	0.00000001	662.5	PLPP3	C8A	0.29	-358321	3	Liver	0.0000000000014	Liver
chr1	56962821	0.00000001	662.5	PLPP3	C8B	0.27	-469655	3	Liver	0.0000000000014	Liver
chr1	56962821	0.00000001	185.5	PLPP3	C8B	0.12	-469178	3	Liver	0.0000000000014	Liver
chr1	56962821	0.00000001	102.5	PLPP3	C8B	0.12	-468890	3	Liver	0.0000000000014	Liver
chr1	109821511	0.00000001	1531.5	PSRC1	PSRC1	0.87	-5829	4	Brain	0.0000000000035	Brain
chr1	109821511	0.00000001	1531.5	PSRC1	MYBPHL	0.84	-29654	4	Brain	0.0000000000035	Brain
chr1	109821511	0.00000001	838.5	PSRC1	PSRC1	0.81	-5136	4	Brain	0.0000000000035	Brain
chr1	109821511	0.00000001	838.5	PSRC1	MYBPHL	0.79	-28961	4	Brain	0.0000000000035	Brain
chr1	109821511	0.00000001	1052.5	PSRC1	MYBPHL	0.78	-29175	4	Brain	0.0000000000035	Brain
chr1	109821511	0.00000001	1268.5	PSRC1	PSRC1	0.75	-5566	4	Brain	0.0000000000035	Brain
chr1	109821511	0.00000001	1531.5	PSRC1	CELSR2	0.75	27818	4	Brain	0.0000000000035	Brain
chr1	109821511	0.00000001	1052.5	PSRC1	PSRC1	0.74	-5350	4	Brain	0.0000000000035	Brain
chr1	109821511	0.00000001	838.5	PSRC1	CELSR2	0.73	28511	4	Brain	0.0000000000035	Brain
chr1	109821511	0.00000001	441	PSRC1	NA	NA	NA	4	Brain	0.0000000000035	Brain
chr1	56962821	0.00000001	1151.5	PLPP3	PLPP3	0.72	-147002	6	Heart Right Atrium	0.0000000000052	Heart
chr1	56962821	0.00000001	571.5	PLPP3	NA	NA	NA	6	Heart Right Atrium	0.0000000000052	Heart
chr2	203745885	0.00000002	605	ICA1L	NA	NA	NA	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr15	79141784	0.00000007	2076	ADAMTS7	ADAMTS7	0.73	40053.5	4	Brain	0.0000000000035	Brain
chr15	79141784	0.00000007	1940	ADAMTS7	ADAMTS7	0.72	39917.5	4	Brain	0.0000000000035	Brain
chr17	2117945	0.0000001	110	SRR	SRR	0.81	-88622.5	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr17	2117945	0.0000001	1650.5	SRR	SRR	0.78	-90383	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr17	2117945	0.0000001	422.5	SRR	SRR	0.78	-89155	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr17	2117945	0.0000001	975	SRR	SRR	0.77	-89707.5	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr17	2117945	0.0000001	1570.5	SRR	SRR	0.77	-90303	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr17	2117945	0.0000001	150.5	SRR	SRR	0.75	-88883	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr17	2117945	0.0000001	298	SRR	SRR	0.62	-89030.5	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr17	2117945	0.0000001	1156	SRR	SRR	0.51	-89888.5	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr17	2117945	0.0000001	975	SRR	HIC1	0.49	159521.5	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr17	2117945	0.0000001	150.5	SRR	SMG6	0.37	-89285	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr17	2117945	0.0000001	298	SRR	SMG6	0.25	-89432.5	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr17	2117945	0.0000001	975	SRR	SMG6	0.25	-90109.5	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr17	2117945	0.0000001	1156	SRR	HIC1	0.25	159340.5	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr17	2117945	0.0000001	422.5	SRR	SMG6	0.25	-89557	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr17	2117945	0.0000001	1570.5	SRR	HIC1	0.25	158926	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr17	2117945	0.0000001	1156	SRR	SMG6	0.24	-90290.5	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr17	2117945	0.0000001	110	SRR	SMG6	0.12	-89024.5	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr17	2117945	0.0000001	150.5	SRR	HIC1	0.12	160346	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr17	2117945	0.0000001	79.5	SRR	SRR	0.79	-88653	3	Liver	0.0000000000014	Liver
chr17	2117945	0.0000001	110	SRR	SRR	0.79	-88622.5	3	Liver	0.0000000000014	Liver
chr17	2117945	0.0000001	333	SRR	SRR	0.77	-88399.5	3	Liver	0.0000000000014	Liver
chr17	2117945	0.0000001	422.5	SRR	SRR	0.77	-89155	3	Liver	0.0000000000014	Liver
chr17	2117945	0.0000001	1156	SRR	SRR	0.75	-89888.5	3	Liver	0.0000000000014	Liver
chr17	2117945	0.0000001	150.5	SRR	SRR	0.62	-88883	3	Liver	0.0000000000014	Liver
chr17	2117945	0.0000001	298	SRR	SRR	0.49	-89030.5	3	Liver	0.0000000000014	Liver
chr17	2117945	0.0000001	422.5	SRR	HIC1	0.49	160074	3	Liver	0.0000000000014	Liver
chr17	2117945	0.0000001	333	SRR	SMG6	0.49	-88801.5	3	Liver	0.0000000000014	Liver
chr17	2117945	0.0000001	1156	SRR	HIC1	0.39	159340.5	3	Liver	0.0000000000014	Liver
chr17	2117945	0.0000001	150.5	SRR	SMG6	0.37	-89285	3	Liver	0.0000000000014	Liver
chr17	2117945	0.0000001	422.5	SRR	SMG6	0.36	-89557	3	Liver	0.0000000000014	Liver
chr17	2117945	0.0000001	1156	SRR	SMG6	0.36	-90290.5	3	Liver	0.0000000000014	Liver
chr17	2117945	0.0000001	298	SRR	HIC1	0.25	160198.5	3	Liver	0.0000000000014	Liver
chr17	2117945	0.0000001	110	SRR	SMG6	0.25	-89024.5	3	Liver	0.0000000000014	Liver
chr17	2117945	0.0000001	79.5	SRR	SMG6	0.24	-89055	3	Liver	0.0000000000014	Liver
chr17	2117945	0.0000001	298	SRR	SMG6	0.24	-89432.5	3	Liver	0.0000000000014	Liver
chr17	2117945	0.0000001	150.5	SRR	HIC1	0.12	160346	3	Liver	0.0000000000014	Liver
chr17	2117945	0.0000001	1650.5	SRR	SRR	0.8	-90383	4	Brain	0.0000000000035	Brain
chr17	2117945	0.0000001	79.5	SRR	SRR	0.78	-88653	4	Brain	0.0000000000035	Brain
chr17	2117945	0.0000001	110	SRR	SRR	0.77	-88622.5	4	Brain	0.0000000000035	Brain
chr17	2117945	0.0000001	1156	SRR	SRR	0.76	-89888.5	4	Brain	0.0000000000035	Brain
chr17	2117945	0.0000001	2126	SRR	HIC1	0.75	158370.5	4	Brain	0.0000000000035	Brain
chr17	2117945	0.0000001	1570.5	SRR	SRR	0.74	-90303	4	Brain	0.0000000000035	Brain
chr17	2117945	0.0000001	333	SRR	SRR	0.74	-88399.5	4	Brain	0.0000000000035	Brain
chr17	2117945	0.0000001	422.5	SRR	SRR	0.73	-89155	4	Brain	0.0000000000035	Brain
chr17	2117945	0.0000001	975	SRR	NA	NA	NA	4	Brain	0.0000000000035	Brain
chr17	2117945	0.0000001	150.5	SRR	NA	NA	NA	4	Brain	0.0000000000035	Brain
chr17	2117945	0.0000001	1821.5	SRR	NA	NA	NA	4	Brain	0.0000000000035	Brain
chr17	2117945	0.0000001	298	SRR	NA	NA	NA	4	Brain	0.0000000000035	Brain
chr17	2117945	0.0000001	1930.5	SRR	NA	NA	NA	4	Brain	0.0000000000035	Brain
chr17	2117945	0.0000001	422.5	SRR	SRR	0.78	-89155	5	T, Thymus, Cd4	0.0000000000042	Blood & T-cell
chr17	2117945	0.0000001	110	SRR	SRR	0.78	-88622.5	5	T, Thymus, Cd4	0.0000000000042	Blood & T-cell
chr17	2117945	0.0000001	79.5	SRR	SRR	0.77	-88653	5	T, Thymus, Cd4	0.0000000000042	Blood & T-cell
chr17	2117945	0.0000001	298	SRR	SRR	0.57	-89030.5	5	T, Thymus, Cd4	0.0000000000042	Blood & T-cell
chr17	2117945	0.0000001	298	SRR	HIC1	0.07	160198.5	5	T, Thymus, Cd4	0.0000000000042	Blood & T-cell
chr17	2117945	0.0000001	110	SRR	SMG6	0.07	-89024.5	5	T, Thymus, Cd4	0.0000000000042	Blood & T-cell
chr17	2117945	0.0000001	422.5	SRR	HIC1	0.07	160074	5	T, Thymus, Cd4	0.0000000000042	Blood & T-cell
chr17	2117945	0.0000001	298	SRR	SMG6	0.07	-89432.5	5	T, Thymus, Cd4	0.0000000000042	Blood & T-cell
chr17	2117945	0.0000001	422.5	SRR	SMG6	0.05	-89557	5	T, Thymus, Cd4	0.0000000000042	Blood & T-cell
chr17	2117945	0.0000001	79.5	SRR	SMG6	0.04	-89055	5	T, Thymus, Cd4	0.0000000000042	Blood & T-cell
chr17	2117945	0.0000001	79.5	SRR	HIC1	0.04	160576	5	T, Thymus, Cd4	0.0000000000042	Blood & T-cell
chr17	2117945	0.0000001	110	SRR	SRR	0.85	-88622.5	6	Heart Right Atrium	0.0000000000052	Heart
chr3	138122122	0.0000001	2444.5	ESYT3	MRAS	0.85	53187	6	Heart Right Atrium	0.0000000000052	Heart
chr17	2117945	0.0000001	79.5	SRR	SRR	0.85	-88653	6	Heart Right Atrium	0.0000000000052	Heart
chr3	138122122	0.0000001	949.5	ESYT3	MRAS	0.83	54682	6	Heart Right Atrium	0.0000000000052	Heart
chr3	138122122	0.0000001	406.5	ESYT3	MRAS	0.83	55225	6	Heart Right Atrium	0.0000000000052	Heart
chr17	2117945	0.0000001	298	SRR	SRR	0.82	-89030.5	6	Heart Right Atrium	0.0000000000052	Heart
chr17	2117945	0.0000001	422.5	SRR	SRR	0.81	-89155	6	Heart Right Atrium	0.0000000000052	Heart
chr3	138122122	0.0000001	2299.5	ESYT3	MRAS	0.81	53332	6	Heart Right Atrium	0.0000000000052	Heart
chr17	2117945	0.0000001	2207	SRR	HIC1	0.81	158289.5	6	Heart Right Atrium	0.0000000000052	Heart
chr17	2117945	0.0000001	2126	SRR	HIC1	0.8	158370.5	6	Heart Right Atrium	0.0000000000052	Heart
chr17	2117945	0.0000001	975	SRR	SRR	0.8	-89707.5	6	Heart Right Atrium	0.0000000000052	Heart
chr17	2117945	0.0000001	1570.5	SRR	SRR	0.79	-90303	6	Heart Right Atrium	0.0000000000052	Heart
chr17	2117945	0.0000001	1650.5	SRR	SRR	0.78	-90383	6	Heart Right Atrium	0.0000000000052	Heart
chr3	138122122	0.0000001	1142.5	ESYT3	MRAS	0.78	54489	6	Heart Right Atrium	0.0000000000052	Heart
chr3	138122122	0.0000001	1266	ESYT3	MRAS	0.77	54365.5	6	Heart Right Atrium	0.0000000000052	Heart
chr17	2117945	0.0000001	1156	SRR	SRR	0.77	-89888.5	6	Heart Right Atrium	0.0000000000052	Heart
chr17	2117945	0.0000001	333	SRR	SRR	0.76	-88399.5	6	Heart Right Atrium	0.0000000000052	Heart
chr17	2117945	0.0000001	150.5	SRR	SRR	0.76	-88883	6	Heart Right Atrium	0.0000000000052	Heart
chr17	2117945	0.0000001	1821.5	SRR	SRR	0.76	-90554	6	Heart Right Atrium	0.0000000000052	Heart
chr17	2117945	0.0000001	1570.5	SRR	HIC1	0.75	158926	6	Heart Right Atrium	0.0000000000052	Heart
chr17	2117945	0.0000001	1650.5	SRR	HIC1	0.74	158846	6	Heart Right Atrium	0.0000000000052	Heart
chr3	138122122	0.0000001	20	ESYT3	MRAS	0.73	55651.5	6	Heart Right Atrium	0.0000000000052	Heart
chr17	2117945	0.0000001	975	SRR	HIC1	0.73	159521.5	6	Heart Right Atrium	0.0000000000052	Heart
chr17	2117945	0.0000001	1930.5	SRR	SRR	0.72	-90663	6	Heart Right Atrium	0.0000000000052	Heart
chr17	2117945	0.0000001	110	SRR	HIC1	0.72	160606.5	6	Heart Right Atrium	0.0000000000052	Heart
chr17	2117945	0.0000001	422.5	SRR	HIC1	0.72	160074	6	Heart Right Atrium	0.0000000000052	Heart
chr17	2117945	0.0000001	1156	SRR	HIC1	0.72	159340.5	6	Heart Right Atrium	0.0000000000052	Heart
chr17	2117945	0.0000001	79.5	SRR	HIC1	0.72	160576	6	Heart Right Atrium	0.0000000000052	Heart
chr3	138122122	0.0000001	2006.5	ESYT3	NA	NA	NA	6	Heart Right Atrium	0.0000000000052	Heart
chr12	111884608	0.0000009	1949.5	SH2B3	SH2B3	0.88	38906	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr12	111884608	0.0000009	1704.5	SH2B3	SH2B3	0.87	39151	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr12	111884608	0.0000009	333.5	SH2B3	SH2B3	0.86	40522	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr12	111884608	0.0000009	611	SH2B3	SH2B3	0.86	40244.5	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr12	111884608	0.0000009	993.5	SH2B3	SH2B3	0.85	39862	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr12	111884608	0.0000009	753.5	SH2B3	SH2B3	0.84	40102	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr12	111884608	0.0000009	1283.5	SH2B3	SH2B3	0.81	39572	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr12	111884608	0.0000009	1704.5	SH2B3	BRAP	0.25	-240857	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr12	111884608	0.0000009	611	SH2B3	ERP29	0.13	-567155.5	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr12	111884608	0.0000009	753.5	SH2B3	ERP29	0.13	-567298	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr12	111884608	0.0000009	333.5	SH2B3	PHETA1	0.12	77349	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr12	111884608	0.0000009	1704.5	SH2B3	ERP29	0.12	-568249	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr12	111884608	0.0000009	993.5	SH2B3	HVCN1	0.12	740859	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr12	111884608	0.0000009	753.5	SH2B3	PHETA1	0.12	76929	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr12	111884608	0.0000009	1704.5	SH2B3	ARPC3	0.12	994676	2	Colon, Mucosa, Rectum	0.00000000000078	Digestive
chr12	111884608	0.0000009	611	SH2B3	SH2B3	0.89	40244.5	3	Liver	0.0000000000014	Liver
chr12	111884608	0.0000009	333.5	SH2B3	SH2B3	0.89	40522	3	Liver	0.0000000000014	Liver
chr12	111884608	0.0000009	753.5	SH2B3	SH2B3	0.88	40102	3	Liver	0.0000000000014	Liver
chr12	111884608	0.0000009	1704.5	SH2B3	SH2B3	0.87	39151	3	Liver	0.0000000000014	Liver
chr12	111884608	0.0000009	1949.5	SH2B3	SH2B3	0.87	38906	3	Liver	0.0000000000014	Liver
chr12	111884608	0.0000009	993.5	SH2B3	SH2B3	0.87	39862	3	Liver	0.0000000000014	Liver
chr12	111884608	0.0000009	1283.5	SH2B3	SH2B3	0.86	39572	3	Liver	0.0000000000014	Liver
chr12	111884608	0.0000009	194	SH2B3	SH2B3	0.77	41049.5	3	Liver	0.0000000000014	Liver
chr12	111884608	0.0000009	194	SH2B3	ALDH2	0.12	-319889.5	3	Liver	0.0000000000014	Liver
chr12	111884608	0.0000009	194	SH2B3	PHETA1	0.12	77876.5	3	Liver	0.0000000000014	Liver
chr12	111884608	0.0000009	1704.5	SH2B3	HVCN1	0.88	740148	4	Brain	0.0000000000035	Brain
chr12	111884608	0.0000009	1949.5	SH2B3	SH2B3	0.85	38906	4	Brain	0.0000000000035	Brain
chr12	111884608	0.0000009	2306	SH2B3	SH2B3	0.84	38549.5	4	Brain	0.0000000000035	Brain
chr12	111884608	0.0000009	1283.5	SH2B3	SH2B3	0.83	39572	4	Brain	0.0000000000035	Brain
chr12	111884608	0.0000009	611	SH2B3	SH2B3	0.8	40244.5	4	Brain	0.0000000000035	Brain
chr12	111884608	0.0000009	611	SH2B3	PHETA1	0.77	77071.5	4	Brain	0.0000000000035	Brain
chr12	111884608	0.0000009	993.5	SH2B3	SH2B3	0.77	39862	4	Brain	0.0000000000035	Brain
chr12	111884608	0.0000009	1704.5	SH2B3	SH2B3	0.76	39151	4	Brain	0.0000000000035	Brain
chr12	111884608	0.0000009	1006.5	SH2B3	GPN3	0.74	978541	4	Brain	0.0000000000035	Brain
chr12	111884608	0.0000009	993.5	SH2B3	PHETA1	0.73	76689	4	Brain	0.0000000000035	Brain
chr12	111884608	0.0000009	333.5	SH2B3	SH2B3	0.73	40522	4	Brain	0.0000000000035	Brain
chr12	111884608	0.0000009	1949.5	SH2B3	ARPC3	0.72	994431	4	Brain	0.0000000000035	Brain
chr12	111884608	0.0000009	611	SH2B3	ERP29	0.72	-567155.5	4	Brain	0.0000000000035	Brain
chr12	111884608	0.0000009	194	SH2B3	NA	NA	NA	4	Brain	0.0000000000035	Brain
chr12	111884608	0.0000009	1264.5	SH2B3	NA	NA	NA	4	Brain	0.0000000000035	Brain
chr12	111884608	0.0000009	1805	SH2B3	NA	NA	NA	4	Brain	0.0000000000035	Brain
chr12	111884608	0.0000009	1935.5	SH2B3	NA	NA	NA	4	Brain	0.0000000000035	Brain
chr12	111884608	0.0000009	1427	SH2B3	NA	NA	NA	4	Brain	0.0000000000035	Brain
chr12	111884608	0.0000009	2256.5	SH2B3	NA	NA	NA	4	Brain	0.0000000000035	Brain
chr12	111884608	0.0000009	2476	SH2B3	NA	NA	NA	4	Brain	0.0000000000035	Brain
chr12	111884608	0.0000009	753.5	SH2B3	NA	NA	NA	4	Brain	0.0000000000035	Brain
chr12	111884608	0.0000009	753.5	SH2B3	SH2B3	0.88	40102	5	T, Thymus, Cd4	0.0000000000042	Blood & T-cell
chr12	111884608	0.0000009	2306	SH2B3	SH2B3	0.86	38549.5	5	T, Thymus, Cd4	0.0000000000042	Blood & T-cell
chr12	111884608	0.0000009	993.5	SH2B3	SH2B3	0.85	39862	5	T, Thymus, Cd4	0.0000000000042	Blood & T-cell
chr12	111884608	0.0000009	611	SH2B3	SH2B3	0.9	40244.5	6	Heart Right Atrium	0.0000000000052	Heart
chr12	111884608	0.0000009	753.5	SH2B3	SH2B3	0.88	40102	6	Heart Right Atrium	0.0000000000052	Heart
chr12	111884608	0.0000009	1949.5	SH2B3	SH2B3	0.87	38906	6	Heart Right Atrium	0.0000000000052	Heart
chr12	111884608	0.0000009	333.5	SH2B3	SH2B3	0.87	40522	6	Heart Right Atrium	0.0000000000052	Heart
chr12	111884608	0.0000009	1704.5	SH2B3	SH2B3	0.86	39151	6	Heart Right Atrium	0.0000000000052	Heart
chr12	111884608	0.0000009	2306	SH2B3	SH2B3	0.86	38549.5	6	Heart Right Atrium	0.0000000000052	Heart
chr12	111884608	0.0000009	993.5	SH2B3	SH2B3	0.86	39862	6	Heart Right Atrium	0.0000000000052	Heart
chr12	111884608	0.0000009	1283.5	SH2B3	SH2B3	0.85	39572	6	Heart Right Atrium	0.0000000000052	Heart
chr12	111884608	0.0000009	2476	SH2B3	SH2B3	0.75	43331.5	6	Heart Right Atrium	0.0000000000052	Heart
chr12	111884608	0.0000009	2256.5	SH2B3	SH2B3	0.74	43112	6	Heart Right Atrium	0.0000000000052	Heart
chr12	111884608	0.0000009	1427	SH2B3	SH2B3	0.73	42282.5	6	Heart Right Atrium	0.0000000000052	Heart
chr12	111884608	0.0000009	1264.5	SH2B3	NA	NA	NA	6	Heart Right Atrium	0.0000000000052	Heart
chr12	111884608	0.0000009	1805	SH2B3	NA	NA	NA	6	Heart Right Atrium	0.0000000000052	Heart
chr12	111884608	0.0000009	1935.5	SH2B3	NA	NA	NA	6	Heart Right Atrium	0.0000000000052	Heart
chr12	111884608	0.0000009	1006.5	SH2B3	NA	NA	NA	6	Heart Right Atrium	0.0000000000052	Heart
chr10	104719096	0.000001	134.5	CNNM2	NA	NA	NA	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr10	104719096	0.000001	251.5	CNNM2	NA	NA	NA	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr10	44753867	0.000002	1871.5	CXCL12	NA	NA	NA	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr10	44753867	0.000002	1001.5	CXCL12	NA	NA	NA	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr10	44753867	0.000002	1587	CXCL12	NA	NA	NA	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr10	44753867	0.000002	1681	CXCL12	NA	NA	NA	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr10	44753867	0.000002	1385.5	CXCL12	NA	NA	NA	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr10	44753867	0.000002	451.5	CXCL12	NA	NA	NA	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
