imputed_CARDIoGRAM_C4D_CAD_ADDITIVE	imputed_CNCR_Insomnia_all	imputed_DIAGRAM_T2D_TRANS_ETHNIC	imputed_GABRIEL_Asthma	imputed_GPC-NEO-NEUROTICISM	imputed_HRGene_HeartRate	imputed_IBD.EUR.Crohns_Disease	imputed_IBD.EUR.Inflammatory_Bowel_Disease	imputed_IBD.EUR.Ulcerative_Colitis	imputed_IGAP_Alzheimer	imputed_PGC_ADHD_EUR_2017	imputed_PGC_ASD_2017_CEU	imputed_TAGC_Asthma_EUR	imputed_UKB_20002_1261_self_reported_multiple_sclerosis	imputed_UKB_20002_1262_self_reported_parkinsons_disease	imputed_UKB_20002_1289_self_reported_schizophrenia	imputed_UKB_20127_Neuroticism_score	imputed_UKB_6152_8_diagnosed_by_doctor_Asthma
chr10:102602536-102602767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:102602985-102603252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:102610547-102611755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:102612662-102613254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:102613333-102613700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:102615497-102616013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:102644287-102646930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:102651065-102651359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:102660576-102662040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:102676717-102677355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:102701199-102701779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:102743762-102745640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:102764349-102764661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:102775274-102777532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:102777691-102778057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:103057280-103058906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:103134183-103134684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:103191002-103191238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:103196989-103197911	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:103227708-103228992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:103230421-103232369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:103232570-103232929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:103441428-103442666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:103445198-103446333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:103757546-103757905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:103777289-103777743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:103967208-103967502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:104311746-104311971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:109890169-109890345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:109902512-109903970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:109953371-109954149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:109978647-109979409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:110222825-110223109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:110225374-110225862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:111202912-111203594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:112394460-112395030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:113641738-113642578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:113644189-113645606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:114831088-114831642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:114925238-114926598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:114942243-114943821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:11754796-11756026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:11756064-11758503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:118669249-118670433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:118672933-118673441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:118730940-118731568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:118737874-118738508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:118957016-118957513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:118965842-118967248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:119024743-119027294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:119103109-119103925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:119119780-119121937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:119130829-119132638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:119177881-119179486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:12129611-12130774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:121829837-121832197	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:121921064-121922134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:121988209-121988549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:121988605-121989204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:12241217-12243506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:123890183-123891681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:124465237-124465799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:124522957-124526585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:124538993-124539593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:124613471-124614255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:124685002-124687965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:124688011-124688325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:124692894-124693444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:124700935-124704663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:124728674-124729518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:124892106-124892693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:125023083-125025305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:125036849-125039459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:125822423-125824434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:125894422-125896177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:129543422-129545291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:132063995-132066686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:132206131-132207441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:132207531-132209481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:132359277-132360493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:132713710-132714923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:132959285-132960869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:132961912-132963142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:132964420-132965463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:132966859-132968484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:13298805-13300840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:133357070-133358121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:133364114-133365873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:133393568-133395193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:13652394-13653012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:13674350-13675643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:13683417-13687573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:13695279-13695690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:14647220-14649699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:15195863-15196803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:16445601-16447012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:17001173-17002321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:17586835-17587708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:17643199-17645058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:17662522-17663252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:18504812-18507101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:18525153-18527459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:18527866-18528322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:22553990-22555507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:22604702-22605443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:22684207-22684548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:22848812-22850552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:22854288-22856100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:26792060-26793871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:26805591-26806075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:27153698-27156389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:27198187-27199012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:27218400-27220376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:27239704-27243328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:27258563-27259787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:28170777-28172575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:28296203-28296953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:28325732-28328205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:28501993-28503414	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:28564718-28565539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:28577540-28578177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:29524738-29528017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:30041835-30043410	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:3094853-3096579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:31318031-31319823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:3137596-3137981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:31395299-31396474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:31630492-31632025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:31822064-31824174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:3192996-3193934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:32043046-32043505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:32376871-32380004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:32380108-32380318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:32958362-32959444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:32980028-32982442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:33015043-33017325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:33109848-33110006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:33113171-33114327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:33145275-33145838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:33195521-33195781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:33196051-33197798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:33211159-33212572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:33214354-33214600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:33214676-33216893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:33262849-33264712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:34971282-34972197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:35340847-35341325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:35371076-35373447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:35378346-35381173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:35390467-35390980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:35394380-35395010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:35450028-35450524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:35462391-35464353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:35465711-35465966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:35480237-35481821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:35481848-35482207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:35493104-35494196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:37547943-37548617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:37803133-37803983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:37856754-37858686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:38050675-38051074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:38093401-38095535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:3828281-3830004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:38355361-38356963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:38401582-38401854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:38402083-38402979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:38403127-38404102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:42367105-42368487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:4246934-4247606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:4254023-4254455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:42637271-42639212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:4265855-4267569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:42871420-42872095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:43076406-43076835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:43361630-43363261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:43857301-43857540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:44249153-44250282	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:44293055-44294910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:44934373-44936654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:44974443-44974986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:44980747-44981380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:45007689-45009148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:45379620-45380224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:45557301-45558194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:45579922-45581408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:45671697-45672567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:46022538-46023900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:46029105-46031235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:46105958-46107540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:46255498-46256708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:46283980-46285719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:46299194-46300519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:46308670-46309626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:46417646-46418348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:46418577-46420583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:46454162-46454614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:4651971-4652372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:46574049-46574538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:4670805-4673523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:47230237-47230803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:47402359-47403055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:4780650-4781335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:48339875-48341555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:48464653-48466445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:48805445-48806631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:49001290-49002836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:49007272-49009906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:4901568-4903678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:49023454-49025752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:49052423-49054327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:49054385-49054619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:49070360-49072106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:49106244-49107149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:49109658-49110101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:49186908-49189192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:49190410-49190640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:49224714-49226208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:49271062-49273610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:4940854-4943595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:4962923-4963719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:50055195-50056407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:50067300-50068800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:50372538-50375125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:50394545-50394872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:50417522-50419075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:50469589-50470968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:50513362-50514136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:50515314-50515727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:50537059-50537348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:50557813-50558883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:50576013-50576160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:50593641-50594664	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:50602881-50606027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:51171280-51172151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:5291016-5292785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:5446044-5448330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:54841868-54844625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:54867847-54869572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:58219330-58221575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:58372528-58373916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:58384169-58386276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:58474981-58477038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:58511506-58512709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:5890552-5892204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:60286752-60287556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:60315690-60316240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:63132653-63134657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:63170440-63170779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:63210404-63210701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:63210707-63211244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:63274069-63274356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:63286219-63286706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:63396523-63397036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:63440621-63441086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:63514501-63516189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:63579228-63580642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:65570340-65571433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
